»’∆⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,∂˛—ıªØ¡Ú,“ª—ıªØÃº,∂˛—ıªØµ™,≥Ù—ı≈®∂»
2016/5/12,62,¡º,34,45,3,0.5,28,114
2016/5/13,73,¡º,32,60,6,0.6,43,127
2016/5/14,58,¡º,41,33,3,0.5,35,84
2016/5/15,49,”≈,34,33,2,0.5,36,87
2016/5/16,75,¡º,24,59,3,0.5,43,129
2016/5/17,162,÷–∂»Œ€»æ,58,104,11,0.6,52,227
2016/5/18,134,«·∂»Œ€»æ,61,101,9,0.5,35,197
2016/5/19,184,÷–∂»Œ€»æ,86,118,15,0.8,38,249
2016/5/20,171,÷–∂»Œ€»æ,88,110,20,1.1,49,236
2016/5/21,150,«·∂»Œ€»æ,68,83,18,0.8,47,215
2016/5/22,142,«·∂»Œ€»æ,49,87,8,0.7,51,206
2016/5/23,95,¡º,61,106,14,0.9,45,153
2016/5/24,75,¡º,19,44,3,0.4,28,129
2016/5/25,66,¡º,13,31,3,0.3,25,119
2016/5/26,63,¡º,22,61,2,0.3,31,115
2016/5/27,122,«·∂»Œ€»æ,48,104,12,0.6,50,184
2016/5/28,138,«·∂»Œ€»æ,48,87,10,0.7,38,201
2016/5/29,95,¡º,33,76,5,0.5,30,153
2016/5/30,204,÷ÿ∂»Œ€»æ,82,147,16,1.1,51,283
2016/5/31,138,«·∂»Œ€»æ,45,115,11,0.8,36,201
2016/6/1,108,«·∂»Œ€»æ,37,73,6,0.7,42,168
2016/6/2,156,÷–∂»Œ€»æ,53,88,9,0.8,51,221
2016/6/3,160,÷–∂»Œ€»æ,82,125,21,1.2,61,225
2016/6/4,179,÷–∂»Œ€»æ,87,127,16,0.9,38,244
2016/6/5,161,÷–∂»Œ€»æ,71,98,14,0.9,38,226
2016/6/6,189,÷–∂»Œ€»æ,87,119,7,0.9,32,254
2016/6/7,127,«·∂»Œ€»æ,60,0,2,0.8,25,189
2016/6/8,170,÷–∂»Œ€»æ,129,129,3,1.2,36,223
2016/6/9,153,÷–∂»Œ€»æ,106,140,7,1,33,218
2016/6/10,123,«·∂»Œ€»æ,52,32,2,0.6,20,185
2016/6/11,64,¡º,12,30,2,0.4,25,116
2016/6/12,146,«·∂»Œ€»æ,71,100,7,1,33,210
2016/6/13,96,¡º,47,0,2,0.6,28,155
2016/6/14,50,”≈,35,44,2,0.6,26,95
2016/6/15,92,¡º,19,40,2,0.5,30,150
2016/6/16,90,¡º,26,59,2,0.6,47,148
2016/6/17,59,¡º,24,56,2,0.6,47,103
2016/6/18,145,«·∂»Œ€»æ,42,72,4,0.7,44,209
2016/6/19,149,«·∂»Œ€»æ,65,98,5,0.8,39,213
2016/6/20,166,÷–∂»Œ€»æ,85,101,5,1,28,231
2016/6/21,175,÷–∂»Œ€»æ,85,89,2,0.9,30,240
2016/6/22,150,«·∂»Œ€»æ,56,85,2,0.7,32,214
2016/6/23,117,«·∂»Œ€»æ,76,102,6,1.1,38,178
2016/6/24,70,¡º,13,30,2,0.6,30,123
2016/6/25,59,¡º,18,38,2,0.4,32,110
2016/6/26,140,«·∂»Œ€»æ,41,77,5,0.5,42,203
2016/6/27,98,¡º,60,88,7,0.7,39,157
2016/6/28,98,¡º,73,0,2,0.7,32,118
2016/6/29,145,«·∂»Œ€»æ,111,0,2,0.9,33,166
2016/6/30,130,«·∂»Œ€»æ,60,57,2,0.7,33,192
2016/7/1,82,¡º,14,32,2,0.4,25,138
2016/7/2,119,«·∂»Œ€»æ,47,71,3,0.7,38,180
2016/7/3,137,«·∂»Œ€»æ,83,108,8,1,43,200
2016/7/4,173,÷–∂»Œ€»æ,131,110,5,1.2,32,216
2016/7/5,161,÷–∂»Œ€»æ,96,104,5,1,30,226
2016/7/6,155,÷–∂»Œ€»æ,74,106,5,0.9,35,220
2016/7/7,177,÷–∂»Œ€»æ,110,125,8,1.2,33,242
2016/7/8,146,«·∂»Œ€»æ,91,104,5,1.2,34,210
