日期,AQI,质量等级,PM2.5,PM10,二氧化硫,一氧化碳,二氧化氮,臭氧浓度
2020/6/16,90,良,26,59,2,0.6,47,148
2020/6/17,59,良,24,56,2,0.6,47,103
2020/6/18,145,轻度污染,42,72,4,0.7,44,209
2020/6/19,149,轻度污染,65,98,5,0.8,39,213
2020/6/20,166,中度污染,85,101,5,1,28,231
2020/6/21,175,中度污染,85,89,2,0.9,30,240
2020/6/22,150,轻度污染,56,85,2,0.7,32,214
2020/6/23,117,轻度污染,76,102,6,1.1,38,178
2020/6/24,70,良,13,30,2,0.6,30,123
2020/6/25,59,良,18,38,2,0.4,32,110
2020/6/26,140,轻度污染,41,77,5,0.5,42,203
2020/6/27,98,良,60,88,7,0.7,39,157
2020/6/28,98,良,73,0,2,0.7,32,118
2020/6/29,145,轻度污染,111,0,2,0.9,33,166
2020/6/30,130,轻度污染,60,57,2,0.7,33,192
2020/7/1,82,良,14,32,2,0.4,25,138
2020/7/2,119,轻度污染,47,71,3,0.7,38,180
2020/7/3,137,轻度污染,83,108,8,1,43,200
2020/7/4,173,中度污染,131,110,5,1.2,32,216
2020/7/5,161,中度污染,96,104,5,1,30,226
2020/7/6,155,中度污染,74,106,5,0.9,35,220
2020/7/7,177,中度污染,110,125,8,1.2,33,242
2020/7/8,146,轻度污染,91,104,5,1.2,34,210
2020/7/9,143,轻度污染,83,93,4,0.8,32,207
2020/7/10,137,轻度污染,91,86,4,0.8,28,200
2020/7/11,129,轻度污染,86,98,7,0.7,29,191
2020/7/12,52,良,29,54,4,0.6,29,94
2020/7/13,112,轻度污染,20,43,3,0.5,32,173
2020/7/14,80,良,35,0,4,0.8,42,135
2020/7/15,52,良,36,40,2,0.7,30,77
2020/7/16,54,良,38,53,3,0.8,40,82
2020/7/17,154,中度污染,79,97,3,1.1,42,219
2020/7/18,139,轻度污染,106,130,4,1.3,52,137
2020/7/19,133,轻度污染,101,0,2,1.3,44,53
2020/7/20,48,优,33,7,2,0.7,18,57
2020/7/21,40,优,28,39,2,0.8,27,53
2020/7/22,100,良,75,81,2,1.1,32,154
2020/7/23,158,中度污染,120,174,2,1.2,34,180
2020/7/24,131,轻度污染,73,118,3,0.9,34,194
2020/7/25,57,良,40,38,3,0.8,29,108
2020/7/26,93,良,21,48,3,0.6,24,151
2020/7/27,168,中度污染,47,0,2,0.7,35,233
2020/7/28,128,轻度污染,50,81,2,0.7,31,190
2020/7/29,158,中度污染,120,139,2,1.3,30,217
2020/7/30,170,中度污染,129,48,2,1.6,32,87
2020/7/31,77,良,56,82,2,1,32,102
2020/8/1,109,轻度污染,71,100,3,1.3,30,169
2020/8/2,96,良,49,58,2,1,31,155
2020/8/3,153,中度污染,59,80,3,1,35,218
2020/8/4,155,中度污染,101,114,2,1.4,33,220
2020/8/5,103,轻度污染,66,88,3,0.8,29,163
2020/8/6,129,轻度污染,98,96,2,1,32,162
2020/8/7,69,良,20,34,2,0.6,19,122
2020/8/8,95,良,32,48,3,0.8,26,154
2020/8/9,135,轻度污染,46,70,6,1.2,37,198
2020/8/10,112,轻度污染,84,97,3,0.9,27,158
2020/8/11,114,轻度污染,86,100,3,0.9,29,156
2020/8/12,79,良,58,73,4,0.9,38,72
2020/8/13,50,优,22,35,3,0.7,40,45
2020/8/14,104,轻度污染,22,48,3,0.6,38,164
2020/8/15,45,优,20,42,2,0.6,29,89
2020/8/16,96,良,24,41,2,0.6,32,155
2020/8/17,87,良,64,0,3,1,58,47
2020/8/18,99,良,74,0,2,1.6,42,43
2020/8/19,67,良,19,42,2,0.9,25,120
2020/8/20,134,轻度污染,54,70,2,1,38,197
2020/8/21,179,中度污染,54,74,3,1,40,244
2020/8/22,103,轻度污染,50,66,4,0.9,32,163
2020/8/23,95,良,71,91,6,0.9,42,135
2020/8/24,109,轻度污染,82,110,3,1.1,48,133
2020/8/25,34,优,17,23,2,0.4,24,67
2020/8/26,45,优,11,29,2,0.4,33,90
2020/8/27,48,优,15,39,3,0.4,38,81
2020/8/28,46,优,12,32,2,0.3,34,92
2020/8/29,66,良,19,47,3,0.5,45,119
2020/8/30,109,轻度污染,30,65,3,0.6,48,169
2020/8/31,50,优,16,37,3,0.5,40,88
2020/9/1,39,优,8,31,3,0.3,31,72
2020/9/2,39,优,12,34,2,0.4,31,56
2020/9/3,86,良,21,45,2,0.5,35,143
2020/9/4,106,轻度污染,79,0,5,1,44,166
2020/9/5,54,良,28,58,2,0.5,33,94
2020/9/6,70,良,34,61,3,0.6,37,119
2020/9/7,87,良,40,65,5,0.7,41,144
2020/9/8,55,良,23,46,2,0.6,44,105
2020/9/9,53,良,18,39,3,0.5,42,68
2020/9/10,54,良,17,44,3,0.5,43,92
2020/9/11,65,良,32,48,2,0.8,29,117
2020/9/12,72,良,34,51,2,0.8,38,126
2020/9/13,118,轻度污染,89,98,3,1.1,53,137
2020/9/14,130,轻度污染,99,102,4,1.1,50,174
2020/9/15,111,轻度污染,79,100,4,0.9,42,172
2020/9/16,172,中度污染,130,125,4,1.1,39,187
2020/9/17,57,良,40,0,2,0.8,37,49
